"","year","island","species","count"
"183",1995,"little spoon","gull_sp",255
"184",1995,"little spoon","herg",NA
"185",1995,"little spoon","gbbg",NA
"186",1995,"little spoon","coei",100
"187",1995,"little spoon","dcco",253
"188",1995,"little spoon","cote",NA
"189",1995,"little spoon","cago",NA
"190",1995,"shabby","gull_sp",190
"191",1995,"shabby","herg",NA
"192",1995,"shabby","gbbg",NA
"193",1995,"shabby","coei",150
"194",1995,"shabby","dcco",312
"195",1995,"shabby","cote",NA
"196",1995,"shabby","cago",NA
