Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2023-06-08T09:05:05.000Z,44.3891,-68.34692,31,0.08,0,1.62,3.01,3.42,5,13,0,3,0,3.763,0,0,12,
2023-06-08T09:35:32.000Z,44.38895,-68.34668,75,0.16,0,1.12,1.74,2.08,7,25,0,3,0,3.764,0,0,11,
2023-06-08T10:06:00.000Z,44.38837,-68.34608,-126,0.09,0,2.04,3.46,4.01,6,26,0,3,0,3.763,0,0,11,
2023-06-08T10:36:27.000Z,44.38888,-68.34675,88,0.17,0,1.91,3.02,3.64,6,25,0,3,0,3.763,0,0,12,
2023-06-08T11:06:46.000Z,44.389,-68.34621,68,0.12,0,2.22,3.08,3.79,5,17,0,3,0,3.76,0.001,0,12,
2023-06-08T11:37:12.000Z,44.39027,-68.35014,-37,8.39,308,1.11,1.99,2.29,7,24,0,3,0,3.76,0.002,0,12,
2023-06-08T12:07:47.000Z,44.39232,-68.21672,67,0.29,0,2.25,1.78,2.72,9,33,0,3,3,3.759,0.002,0,13,
2023-06-08T12:37:31.000Z,44.39249,-68.21731,56,0.24,0,2.74,2.06,3.43,6,12,0,3,0,3.756,0.003,0,14,
2023-06-08T13:07:48.000Z,44.39286,-68.21777,62,0.25,0,3.69,2.76,4.61,6,15,0,3,0,3.759,0.002,0,16,
2023-06-08T13:38:22.000Z,44.39238,-68.21751,93,0.37,0,1.22,1.79,2.16,7,32,0,3,0,3.758,0.006,0,17,
2023-06-08T14:09:16.000Z,44.39081,-68.21712,-83,0.18,0,2.29,6.53,6.92,5,82,0,3,0,3.758,0.004,0,19,
2023-06-08T14:38:34.000Z,44.39109,-68.21637,21,0.32,0,1.62,2.87,3.29,7,16,0,3,0,3.753,0.003,0,21,
2023-06-08T15:09:06.000Z,44.39225,-68.21742,5,0.26,0,1.39,1.83,2.29,8,30,0,3,0,3.751,0.012,0,23,
2023-06-08T15:38:56.000Z,44.39002,-68.21308,50,0.36,0,2.62,1.25,2.9,7,18,0,3,2,3.748,0.028,0,26,
2023-06-08T16:39:07.000Z,44.39129,-68.21283,165,0.17,0,1.75,3.1,3.76,6,26,0,3,0,3.747,0.01,0,30,
2023-06-08T17:40:06.000Z,44.39288,-68.21764,-6,0.73,0,3.29,9.24,9.81,5,56,0,3,14,3.78,2.17,1854,42,
2023-06-08T18:09:58.000Z,44.39272,-68.21822,75,0.49,0,2.79,4.59,5.38,5,20,0,3,0,3.796,2.181,1357,45,
